,age,workclass,fnlwgt,education,marital-status,occupation,relationship,race,gender,hours-per-week,native-country
0,47,Private,1108135,HS-grad,Married-civ-spouse,Sales,Not-in-family,Asian-Pac-Islander,Male,87,France
1,24,Without-pay,23472,Preschool,Divorced,Machine-op-inspct,Unmarried,White,Male,22,Hungary
2,38,State-gov,1456586,HS-grad,Married-spouse-absent,Machine-op-inspct,Wife,Black,Female,38,Greece
3,18,Self-emp-not-inc,1313674,Some-college, Separated,Armed-Forces,Other-relative,Asian-Pac-Islander,Female,38,South
4,57,Self-emp-inc,716344,Bachelors,Married-spouse-absent,Craft-repair,Wife,White,Male,5,Vietnam
5,80,State-gov,566740,Assoc-acdm,Widowed,Other-service,Wife,Other,Male,55,Laos
6,19,Local-gov,50881,Assoc-acdm,Divorced,Exec-managerial,Not-in-family,White,Female,24,Philippines
7,28,Federal-gov,273213,11th,Divorced,Protective-serv,Husband,Black,Male,92,Hong
8,68,Local-gov,1085918,11th,Married-spouse-absent,Handlers-cleaners,Wife,Black,Male,26,Portugal
9,52,State-gov,467762,Assoc-voc,Married-AF-spouse,Priv-house-serv,Not-in-family,Black,Female,16,Greece
10,84,Federal-gov,424521,12th,Married-AF-spouse,Machine-op-inspct,Own-child,Black,Female,35,Vietnam
11,41,State-gov,1200100,Doctorate,Married-AF-spouse,Handlers-cleaners,Own-child,Amer-Indian-Eskimo,Female,91,Cambodia
12,72,Private,185957,Bachelors,Never-married,Exec-managerial,Own-child,Amer-Indian-Eskimo,Female,80,India
13,28,State-gov,559037,HS-grad, Separated,Prof-specialty,Other-relative,Black,Female,71,Poland
14,21,Federal-gov,1328791,10th,Divorced,Priv-house-serv,Other-relative,Other,Female,30,Hungary
15,50,State-gov,1377575,1st-4th,Married-civ-spouse,Transport-moving,Wife,Amer-Indian-Eskimo,Female,36,El-Salvador
16,46,State-gov,838714,1st-4th,Divorced,Handlers-cleaners,Not-in-family,Other,Female,91,Guatemala
17,78,Private,609973,Some-college,Divorced,Machine-op-inspct,Not-in-family,Black,Female,80,Guatemala
18,29,Self-emp-inc,991385,Preschool,Married-civ-spouse,Craft-repair,Wife,Black,Female,63,India
19,40,Self-emp-inc,192177,HS-grad,Never-married,Sales,Own-child,White,Female,73,Poland
20,31,Without-pay,1242107,Assoc-acdm,Never-married,Handlers-cleaners,Other-relative,Asian-Pac-Islander,Male,62,Canada
21,83,Self-emp-not-inc,1335494,Assoc-acdm,Married-AF-spouse,Prof-specialty,Own-child,Asian-Pac-Islander,Male,36,Holand-Netherlands
22,90,Federal-gov,1080942,Preschool,Never-married,Handlers-cleaners,Unmarried,Other,Male,51,Cambodia
23,47,State-gov,401938,5th-6th,Married-spouse-absent,Tech-support,Husband,White,Female,79,Philippines
24,78,Federal-gov,691158,Prof-school,Never-married,Tech-support,Wife,Black,Female,26,Columbia
25,79,Private,1137829,1st-4th,Widowed,Handlers-cleaners,Wife,Amer-Indian-Eskimo,Female,28,Germany
26,67,Local-gov,1190030,7th-8th,Widowed,Craft-repair,Unmarried,Asian-Pac-Islander,Female,6,Portugal
27,64,Without-pay,887855,1st-4th, Separated,Sales,Unmarried,Amer-Indian-Eskimo,Female,10,Taiwan
28,54,Federal-gov,89547,Assoc-acdm,Never-married,Protective-serv,Other-relative,Other,Male,60,Dominican-Republic
29,63,Local-gov,749758,9th,Divorced,Exec-managerial,Other-relative,Black,Male,69,France
30,19,Federal-gov,1429980,12th,Divorced,Craft-repair,Own-child,White,Female,86,Portugal
31,27,State-gov,824014,Prof-school,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,Male,29,Thailand
32,54,State-gov,1046814,9th,Divorced,Prof-specialty,Unmarried,White,Female,30,Peru
33,67,Private,763612,1st-4th,Married-civ-spouse,Farming-fishing,Wife,White,Male,41,Hungary
34,47,Without-pay,871051,1st-4th,Married-AF-spouse,Sales,Not-in-family,White,Male,35,Yugoslavia
35,47,Private,1024883,12th,Never-married,Sales,Unmarried,White,Male,63,Scotland
