,age,workclass,fnlwgt,education,marital-status,occupation,relationship,race,gender,hours-per-week,native-country
0,50,Self-emp-inc,1043895,12th,Never-married,Handlers-cleaners,Unmarried,Other,Male,39,Puerto-Rico
1,62,Private,501337,12th,Never-married,Tech-support,Unmarried,Black,Male,46,England
2,58,Local-gov,101835,Some-college,Married-spouse-absent,Craft-repair,Wife,Black,Male,82,Greece
3,78,Self-emp-inc,589247,Doctorate,Married-spouse-absent,Prof-specialty,Husband,Other,Male,34,Guatemala
4,38,Federal-gov,17476,HS-grad, Separated,Armed-Forces,Not-in-family,Other,Male,35,Germany
5,74,Private,1464969,11th,Married-civ-spouse,Transport-moving,Husband,Amer-Indian-Eskimo,Male,72,Outlying-US(Guam-USVI-etc)
6,79,Local-gov,812078,Prof-school,Divorced,Prof-specialty,Wife,White,Male,15,Yugoslavia
7,67,Federal-gov,535266,Assoc-acdm,Married-civ-spouse,Exec-managerial,Own-child,Amer-Indian-Eskimo,Male,48,El-Salvador
8,47,Local-gov,677094,12th,Divorced,Transport-moving,Not-in-family,Other,Male,40,Japan
9,58,Without-pay,72078,Assoc-voc,Married-AF-spouse,Exec-managerial,Not-in-family,White,Male,74,France
10,36,Federal-gov,359263,Assoc-acdm,Widowed,Armed-Forces,Wife,Amer-Indian-Eskimo,Male,44,Yugoslavia
11,55,Private,107170,12th,Married-AF-spouse,Priv-house-serv,Husband,White,Male,70,Cambodia
12,73,Local-gov,722319,9th,Married-civ-spouse,Machine-op-inspct,Other-relative,White,Male,91,Taiwan
13,18,Private,935008,Assoc-acdm,Married-civ-spouse,Armed-Forces,Other-relative,Asian-Pac-Islander,Male,55,Hungary
14,38,Without-pay,1166400,7th-8th,Married-AF-spouse,Protective-serv,Unmarried,Other,Male,8,South
15,60,Without-pay,36625,HS-grad,Widowed,Handlers-cleaners,Other-relative,Asian-Pac-Islander,Male,61,Holand-Netherlands
16,28,Federal-gov,1028454,Masters,Widowed,Farming-fishing,Wife,Black,Male,60,Hong
17,47,Federal-gov,1007113,Assoc-voc,Married-spouse-absent,Handlers-cleaners,Not-in-family,Black,Male,22,Nicaragua
18,88,Self-emp-not-inc,265092,Preschool,Divorced,Protective-serv,Husband,White,Male,4,Canada
19,75,State-gov,1466269,Bachelors,Divorced,Transport-moving,Unmarried,White,Male,63,Nicaragua
20,52,Self-emp-not-inc,406074,7th-8th,Married-civ-spouse,Exec-managerial,Own-child,White,Male,73,Cambodia
21,28,Private,194386,Assoc-acdm,Married-AF-spouse,Farming-fishing,Own-child,White,Male,51,El-Salvador
22,78,Self-emp-inc,1354521,Bachelors,Married-civ-spouse,Exec-managerial,Wife,Other,Male,74,Trinadad&Tobago
23,38,Federal-gov,1042272,Doctorate,Married-spouse-absent,Sales,Not-in-family,Amer-Indian-Eskimo,Male,29,Iran
24,53,Self-emp-inc,460666,Prof-school,Married-spouse-absent,Machine-op-inspct,Wife,Amer-Indian-Eskimo,Male,80,Ireland
25,32,Local-gov,1144193,Prof-school,Divorced,Adm-clerical,Unmarried,Asian-Pac-Islander,Male,27,Vietnam
26,88,Private,747688,7th-8th,Never-married,Farming-fishing,Own-child,White,Male,7,Puerto-Rico
27,85,Self-emp-inc,345053,Prof-school,Married-AF-spouse,Sales,Husband,Amer-Indian-Eskimo,Male,35,Dominican-Republic
28,49,State-gov,1190199,Assoc-acdm,Never-married,Adm-clerical,Wife,White,Male,7,Taiwan
29,37,Private,771234,10th, Separated,Priv-house-serv,Wife,White,Male,90,Poland
30,41,Without-pay,712243,10th,Married-civ-spouse,Transport-moving,Own-child,Black,Male,39,Columbia
