,age,workclass,fnlwgt,education,education_num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country
0,34,Private,44824,7th-8th,8,Separated,Sales,Own-child,Other,Female,16745,1472,40,Poland
1,48,Private,184126,Some-college,8,Divorced,Other-service,Own-child,Asian-Pac-Islander,Female,0,55,43,Vietnam
2,85,Self-emp-not-inc,270861,Masters,11,Never-married,Adm-clerical,Wife,White,Female,0,334,32,Hong
3,38,Private,199066,HS-grad,14,Never-married,Exec-managerial,Not-in-family,Asian-Pac-Islander,Female,18121,2844,57,Cambodia
4,18,Private,252511,HS-grad,8,Married-civ-spouse,Prof-specialty,Not-in-family,Other,Female,6973,3557,60,China
5,65,Private,143964,HS-grad,10,Widowed,Tech-support,Unmarried,White,Female,29424,1522,58,Haiti
6,71,Private,14645,HS-grad,5,Never-married,Other-service,Unmarried,White,Female,12153,2877,36,Jamaica
7,25,Local-gov,91894,Bachelors,9,Never-married,Tech-support,Own-child,Amer-Indian-Eskimo,Female,40570,187,37,Hungary
8,83,Private,251257,HS-grad,9,Divorced,Prof-specialty,Wife,Asian-Pac-Islander,Female,5750,4305,12,Poland
9,89,Private,66148,Some-college,10,Never-married,Exec-managerial,Unmarried,Asian-Pac-Islander,Female,34230,1943,61,South
10,30,Private,278808,Assoc-voc,11,Never-married,Prof-specialty,Unmarried,Asian-Pac-Islander,Female,9221,1420,33,Yugoslavia
11,78,Self-emp-not-inc,81523,Assoc-acdm,8,Never-married,Sales,Not-in-family,Other,Female,2544,1879,39,Laos
12,70,Local-gov,231309,10th,10,Never-married,Adm-clerical,Not-in-family,Black,Female,7318,1813,42,Outlying-US(Guam-USVI-etc)
13,60,Private,249721,HS-grad,1,Never-married,Exec-managerial,Not-in-family,Amer-Indian-Eskimo,Female,18966,461,46,Nicaragua
14,52,Private,191496,HS-grad,10,Divorced,Adm-clerical,Own-child,Black,Female,26989,0,59,Mexico
15,48,Private,32999,HS-grad,19,Divorced,Adm-clerical,Unmarried,White,Female,5723,2469,50,Outlying-US(Guam-USVI-etc)
16,82,Federal-gov,107759,Some-college,10,Divorced,Priv-house-serv,Unmarried,Black,Female,27180,3200,55,Haiti
17,84,Local-gov,105227,Some-college,18,Never-married,Adm-clerical,Own-child,Black,Female,27586,1535,14,Iran
18,50,Private,178513,Bachelors,4,Never-married,Sales,Not-in-family,Amer-Indian-Eskimo,Female,12996,3600,46,Outlying-US(Guam-USVI-etc)
19,79,Local-gov,43447,HS-grad,9,Never-married,Adm-clerical,Own-child,Other,Female,0,1943,38,China
20,31,Private,53904,Bachelors,11,Divorced,Machine-op-inspct,Own-child,White,Female,16936,867,32,Japan
21,80,Private,30563,HS-grad,11,Never-married,Other-service,Unmarried,Other,Female,7417,883,44,Cambodia
22,70,Private,123671,HS-grad,1,Divorced,Sales,Not-in-family,Black,Female,14703,1676,60,Nicaragua
23,87,Private,183274,Assoc-acdm,10,Divorced,Exec-managerial,Own-child,Black,Female,26398,1927,32,Iran
24,18,Private,104610,Some-college,11,Never-married,Other-service,Unmarried,Asian-Pac-Islander,Female,11692,3188,46,Columbia
25,27,Private,231360,HS-grad,9,Married-civ-spouse,Prof-specialty,Wife,Amer-Indian-Eskimo,Female,30248,3613,42,Portugal
26,19,Private,46590,HS-grad,17,Never-married,Adm-clerical,Unmarried,Asian-Pac-Islander,Female,20741,1084,34,Trinadad&Tobago
27,43,Private,179183,HS-grad,1,Married-civ-spouse,Other-service,Unmarried,Asian-Pac-Islander,Female,0,1836,42,Mexico
28,31,Private,289541,Some-college,16,Never-married,Machine-op-inspct,Wife,Amer-Indian-Eskimo,Female,25897,2866,34,Outlying-US(Guam-USVI-etc)
29,60,Private,57684,HS-grad,9,Widowed,Other-service,Unmarried,Black,Female,16748,313,35,England
30,22,Self-emp-not-inc,43652,Some-college,8,Never-married,Exec-managerial,Not-in-family,White,Female,28832,4243,33,Nicaragua
31,20,Local-gov,112337,HS-grad,19,Never-married,Tech-support,Own-child,Other,Female,6785,4193,23,Nicaragua
32,38,Private,283494,HS-grad,11,Never-married,Sales,Not-in-family,Other,Female,27792,1347,59,Thailand
33,86,Private,140942,10th,11,Divorced,Adm-clerical,Unmarried,Black,Female,40999,4199,40,Peru
