,age,workclass,fnlwgt,education,education_num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country
0,26,Federal-gov,188569,Some-college,3,Married-civ-spouse,Craft-repair,Husband,Amer-Indian-Eskimo,Female,10170,351,72,Mexico
1,74,Self-emp-inc,1359686,10th,10,Widowed,Prof-specialty,Own-child,Asian-Pac-Islander,Female,30980,4275,11,Guatemala
2,50,Federal-gov,700486,Preschool,2,Married-civ-spouse,Transport-moving,Own-child,Black,Female,40682,3621,41,Scotland
3,57,Self-emp-not-inc,288783,10th,2,Widowed,Protective-serv,Unmarried,Amer-Indian-Eskimo,Female,31892,2571,6,India
4,87,Local-gov,1310785,10th,2,Divorced,Armed-Forces,Other-relative,Black,Female,37850,2355,4,Thailand
5,26,Self-emp-not-inc,934401,9th,2,Married-AF-spouse,Craft-repair,Unmarried,Black,Female,24678,932,38,Jamaica
6,24,Self-emp-inc,571880,Bachelors,2,Never-married,Handlers-cleaners,Other-relative,Amer-Indian-Eskimo,Female,17912,1226,53,Nicaragua
7,76,Private,1228690,Prof-school,7,Married-spouse-absent,Adm-clerical,Other-relative,Asian-Pac-Islander,Female,1846,226,98,Holand-Netherlands
8,89,State-gov,1098372,5th-6th,3,Married-AF-spouse,Tech-support,Not-in-family,Asian-Pac-Islander,Female,1726,601,88,China
9,48,Self-emp-not-inc,503427,Assoc-voc,8,Married-AF-spouse,Adm-clerical,Own-child,Other,Female,35410,3054,46,Canada
10,33,Federal-gov,982683,Bachelors,11,Widowed,Sales,Not-in-family,Asian-Pac-Islander,Female,15388,4458,45,Iran
11,30,Local-gov,129133,Masters,11,Never-married,Tech-support,Other-relative,Other,Female,7494,2294,40,Poland
12,20,Private,195047,11th,8,Widowed,Craft-repair,Wife,Amer-Indian-Eskimo,Female,20636,2132,2,Mexico
13,71,State-gov,439805,7th-8th,12,Married-AF-spouse,Other-service,Own-child,Amer-Indian-Eskimo,Female,37717,3745,49,Mexico
14,38,Local-gov,1393629,7th-8th,8, Separated,Machine-op-inspct,Unmarried,Black,Female,27788,4307,30,Nicaragua
15,54,Self-emp-inc,798776,7th-8th,15,Married-spouse-absent,Adm-clerical,Unmarried,Amer-Indian-Eskimo,Female,17494,3075,23,Ireland
16,26,Local-gov,758670,HS-grad,13,Married-civ-spouse,Transport-moving,Other-relative,Asian-Pac-Islander,Female,25243,983,28,Holand-Netherlands
17,69,Self-emp-inc,1157392,Doctorate,16,Widowed,Transport-moving,Unmarried,Asian-Pac-Islander,Female,38536,3628,63,Hong
18,17,Without-pay,773345,Prof-school,9,Married-civ-spouse,Craft-repair,Unmarried,Asian-Pac-Islander,Female,22371,1900,46,Taiwan
19,25,State-gov,446845,5th-6th,16,Never-married,Other-service,Unmarried,Amer-Indian-Eskimo,Female,10044,2597,38,United-States
20,74,State-gov,870471,12th,4,Widowed,Transport-moving,Husband,Amer-Indian-Eskimo,Female,8753,2303,35,Hungary
21,86,Self-emp-inc,1123834,7th-8th,14, Separated,Tech-support,Other-relative,Asian-Pac-Islander,Female,2851,1643,70,Haiti
22,35,Self-emp-inc,650510,9th,15,Never-married,Tech-support,Wife,White,Female,18879,3446,57,Jamaica
23,25,Private,662662,Assoc-voc,1,Never-married,Transport-moving,Own-child,Asian-Pac-Islander,Female,20833,4328,90,Taiwan
24,75,Without-pay,1296789,10th,8,Married-civ-spouse,Farming-fishing,Unmarried,Other,Female,17485,2319,5,Germany
25,31,Without-pay,345523,Some-college,10,Widowed,Farming-fishing,Own-child,Asian-Pac-Islander,Female,41079,1751,60,Haiti
26,48,Self-emp-inc,633789,Masters,7,Married-AF-spouse,Transport-moving,Own-child,Black,Female,25951,1080,79,Yugoslavia
27,19,Self-emp-inc,1047933,Doctorate,13,Married-civ-spouse,Prof-specialty,Not-in-family,Asian-Pac-Islander,Female,7538,67,88,Scotland
28,70,Private,217662,Prof-school,1,Divorced,Other-service,Not-in-family,Other,Female,4711,1799,51,Italy
29,66,State-gov,748030,Bachelors,15,Widowed,Priv-house-serv,Other-relative,White,Female,14713,1028,8,Peru
30,24,Self-emp-not-inc,307118,1st-4th,2,Married-civ-spouse,Sales,Other-relative,White,Female,41117,3707,92,South
31,20,State-gov,443928,9th,5,Married-spouse-absent,Handlers-cleaners,Wife,Asian-Pac-Islander,Female,2637,4357,59,Thailand
32,72,Self-emp-inc,1304391,Doctorate,14,Married-AF-spouse,Prof-specialty,Own-child,Asian-Pac-Islander,Female,8625,4453,34,Iran
33,46,Self-emp-not-inc,1022128,10th,3,Never-married,Prof-specialty,Other-relative,Black,Female,22641,2392,58,Columbia
34,47,Federal-gov,1478550,Bachelors,2, Separated,Exec-managerial,Husband,White,Female,28664,1142,54,Columbia
35,19,Local-gov,933827,1st-4th,10, Separated,Other-service,Husband,Black,Female,8694,2780,36,Thailand
36,82,Without-pay,513395,Bachelors,3,Widowed,Craft-repair,Other-relative,Other,Female,30732,2594,9,Taiwan
37,17,Federal-gov,293006,Assoc-acdm,9,Never-married,Protective-serv,Other-relative,Other,Female,6843,4158,50,Outlying-US(Guam-USVI-etc)
38,62,Self-emp-inc,374978,10th,7,Never-married,Other-service,Not-in-family,Asian-Pac-Islander,Female,16234,3795,79,Italy
39,30,Private,57439,5th-6th,15, Separated,Priv-house-serv,Own-child,Asian-Pac-Islander,Female,20610,1018,76,Trinadad&Tobago
40,52,State-gov,1448453,Masters,15,Divorced,Machine-op-inspct,Wife,Other,Female,18310,3980,17,India
41,62,Self-emp-inc,29277,10th,12, Separated,Farming-fishing,Husband,Other,Female,35501,3130,1,Greece
